gsis_id,name,position,team,age,completions_per_game,attempts_per_game,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0035228,Kyler Murray,QB,MIN,29.05,21.964,32.346000000000004,209.135,1.222,0.619,5.377,33.495000000000005,0.263,16.684
00-0039732,Bo Nix,QB,DEN,26.5,22.557499999999997,35.006249999999994,227.7975,1.5599999999999998,0.6724999999999999,5.078749999999999,22.57125,0.27125,18.20375
00-0040906,Garrett Nussmeier,QB,KC,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038579,Aidan O'Connell,QB,LV,27.98,14.004999999999999,25.336,145.061,0.48500000000000004,0.26,1.509,4.699,0.051000000000000004,7.795
00-0037324,Chris Oladokun,QB,KC,28.98,5.835,9.165,39.165,0.165,0.0,1.135,4.5,0.0,2.015
00-0040891,Cole Payton,QB,PHI,23.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039917,Michael Penix Jr.,QB,ATL,26.3,16.1,27.043750000000003,195.7625,0.85,0.43124999999999997,1.98125,5.6875,0.14375,11.657499999999999
00-0038102,Kenny Pickett,QB,CAR,28.22,7.1850000000000005,11.67,67.625,0.305,0.29100000000000004,1.655,3.635,0.076,3.99
00-0033077,Dak Prescott,QB,DAL,33.07,23.64,35.312,261.185,1.718,0.701,2.694,10.078,0.12,17.635
00-0037834,Brock Purdy,QB,SF,26.66,20.795,30.429,251.17000000000002,1.8970000000000002,0.933,3.643,16.424,0.28800000000000003,18.887999999999998
00-0039376,Spencer Rattler,QB,NO,25.91,19.044999999999998,30.063749999999995,180.69,0.77,0.61625,3.1137499999999996,19.4225,0.0,10.491249999999999
00-0039464,Austin Reed,QB,BAL,26.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039164,Anthony Richardson,QB,IND,24.26,6.185,11.899999999999999,80.57300000000001,0.369,0.377,4.596,20.158,0.365,8.629000000000001
00-0023459,Aaron Rodgers,QB,PIT,42.73,16.715,26.064999999999998,172.582,1.2449999999999999,0.41500000000000004,1.042,3.792,0.03,11.622
00-0040589,Kurtis Rourke,QB,SF,25.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034771,Mason Rudolph,QB,PIT,31.11,12.024999999999999,17.45,124.325,0.686,0.536,2.136,4.975,0.036,7.072
00-0033662,Cooper Rush,QB,ATL,32.76,9.437999999999999,14.887,88.08999999999999,0.3,0.654,1.4929999999999999,-0.19200000000000006,0.0,3.048
00-0034955,Brett Rypien,QB,HOU,30.13,1.8,3.8000000000000003,17.2,0.0,0.1,0.30000000000000004,1.9000000000000001,0.0,0.47800000000000004
00-0040668,Shedeur Sanders,QB,CLE,24.55,15.0,26.5,175.0,0.88,1.25,2.62,21.12,0.12,10.61
00-0040743,Tyler Shough,QB,NO,26.91,20.09,29.73,216.73,0.91,0.55,4.09,16.91,0.27,14.36
00-0041568,Ty Simpson,QB,LA,23.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039577,Kedon Slovis,QB,ARI,25.37,0.3125,0.625,-0.625,0.0,0.0,0.0,0.0,0.0,-0.025
00-0030565,Geno Smith,QB,NYJ,35.87,21.553,31.789,225.391,1.2730000000000001,0.949,2.795,10.501000000000001,0.049999999999999996,13.52
