gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0039355,Luke McCaffrey,WR,WAS,25.4,1.2799999999999998,1.7374999999999998,18.945,0.20625000000000002,0.0,0.0,4.5675
00-0041267,Malik McClain,WR,NYJ,23.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034407,Ray-Ray McCloud,WR,CHI,29.86,1.88,3.036,20.105,0.018,1.895,0.0,4.15
00-0039915,Ladd McConkey,WR,LAC,24.79,4.495,6.762499999999999,57.7475,0.40249999999999997,0.0,0.0,12.716249999999999
00-0041158,Donaven McCulley,WR,MIA,23.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037055,Lance McCutcheon,WR,TEN,27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0035659,Terry McLaurin,WR,WAS,30.94,4.276,6.616,60.229,0.42599999999999993,0.036,0.0,12.825
00-0039855,Jalen McMillan,WR,TB,24.72,2.9437499999999996,4.016249999999999,41.11,0.23249999999999996,1.3974999999999997,0.0,8.5825
00-0040124,Tetairoa McMillan,WR,CAR,23.39,4.12,7.18,59.65,0.41,0.0,0.0,12.55
00-0039386,Bub Means,WR,NO,25.62,0.8437499999999999,1.4062499999999998,11.062499999999998,0.09374999999999999,0.0,0.0,2.5124999999999997
00-0040390,Jackson Meeks,WR,DET,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041542,Malick Meiga,WR,CAR,25.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037091,Bo Melton,WR,GB,27.27,1.141,2.093,17.115000000000002,0.09,3.64,0.0,3.745
00-0035640,DK Metcalf,WR,PIT,28.7,4.109,6.948,62.098,0.399,0.4,0.035,12.883
00-0037614,John Metchie III,WR,CAR,26.1,2.218,3.383,20.418,0.105,-0.132,0.0,4.8870000000000005
00-0040785,Dohnte Meyers,WR,CIN,26.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
