gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game,market_value
00-0039399,Tanner McLachlan,TE,SF,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041263,Lake McRee,TE,PIT,23.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041264,Chamon Metayer,TE,CAR,23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037282,James Mitchell,TE,CAR,27.04,0.95,0.95,9.8,0.0,0.0,0.0,1.93,0
00-0037340,Zaire Mitchell-Paden,TE,NO,27.02,0.335,0.5,2.835,0.0,0.0,0.0,0.615,0
00-0041180,Quentin Moore,TE,WAS,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041570,Tyler Moore,TE,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0034981,Foster Moreau,TE,HOU,29.31,1.424,1.906,14.928,0.109,0.0,0.0,3.5700000000000003,0
00-0036590,Quintin Morris,TE,JAX,27.6,0.625,0.95,6.18,0.175,0.0,0.0,2.293,0
00-0033246,Johnny Mundt,TE,PHI,31.76,1.123,1.829,11.107,0.062000000000000006,0.0,0.0,2.613,0
00-0037317,Nick Muse,TE,ATL,27.75,0.2,0.2,4.4,0.0,0.0,0.0,0.6400000000000001,0
00-0039144,Luke Musgrave,TE,GB,25.98,1.843,2.455,18.019,0.018,0.0,0.0,3.75,52
00-0035345,Chris Myarick,TE,LV,30.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040504,Bryson Nesbit,TE,MIN,23.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0033885,David Njoku,TE,LAC,30.13,4.258,6.364000000000001,38.117,0.391,0.0,0.0,10.489,122
00-0037292,Andrew Ogletree,TE,IND,28.08,0.569,1.008,6.621,0.105,0.0,0.0,1.873,0
00-0037809,Chig Okonkwo,TE,WAS,26.97,3.2560000000000002,4.545,31.663999999999998,0.10799999999999998,0.388,0.0,7.109,301
00-0036423,Albert Okwuegbunam,TE,LV,28.34,2.5,3.2,18.0,0.0,0.0,0.0,4.3,0
00-0035249,Josh Oliver,TE,MIN,29.43,1.512,1.919,16.391,0.27,0.0,0.0,4.754,0
00-0038129,Cade Otton,TE,TB,27.37,3.7800000000000002,5.351,37.275,0.16999999999999998,-0.087,0.0,8.481,145
00-0036244,Colby Parkinson,TE,LA,27.63,2.433,3.372,23.378,0.32899999999999996,0.0,0.0,6.683999999999999,116
00-0041452,Johnny Pascuzzi,TE,LAC,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040986,Ty Pezza,TE,BAL,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036970,Kyle Pitts,TE,ATL,25.89,4.042,5.833,45.766000000000005,0.253,-0.048,0.0,10.132,1230
00-0039702,Mason Pline,TE,KC,26.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040392,Caden Prieskorn,TE,CAR,26.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040792,Layne Pryor,TE,HOU,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037277,Teagan Quitoriano,TE,ARI,26.45,0.134,0.2,2.2,0.0,0.0,0.0,0.35400000000000004,0
00-0041395,Eli Raridon,TE,NE,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223
00-0040598,Mark Redman,TE,LA,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039737,Tip Reiman,TE,ARI,24.94,0.90625,1.3737499999999998,5.4825,0.0,0.0,0.0,1.4537499999999999,0
00-0040938,DJ Rogers,TE,DAL,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041558,Sam Roush,TE,CHI,22.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041087,Joe Royer,TE,CLE,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039489,Hayden Rucci,TE,SF,25.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037805,Jeremy Ruckert,TE,NYJ,26.04,1.5270000000000001,2.075,11.665,0.035,0.0,0.0,2.909,0
00-0040488,Carter Runyon,TE,LV,25.09,0.33,0.33,1.0,0.0,0.0,0.0,0.43,0
00-0041131,Carsen Ryan,TE,CLE,23.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041032,Kenyon Sadiq,TE,NYJ,21.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977
00-0035631,Drew Sample,TE,CIN,30.36,1.485,1.821,9.716000000000001,0.095,0.017,0.0,3.044,0
00-0039356,Ja'Tavion Sanders,TE,CAR,23.42,2.3375,2.8449999999999998,18.44375,0.07625,0.0,0.0,4.6425,64
00-0033576,Eric Saubert,TE,SEA,32.3,0.6960000000000001,0.9410000000000001,4.944,0.024,0.0,0.0,1.454,0
00-0038547,Luke Schoonmaker,TE,DAL,27.91,1.309,1.9699999999999998,11.822999999999999,0.058,0.0,0.0,2.84,0
00-0034383,Dalton Schultz,TE,HOU,30.13,4.132,5.7940000000000005,40.708,0.192,0.0,0.0,9.315999999999999,162
00-0041094,Bauer Sharp,TE,TB,23.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038590,Justin Shorter,TE,LV,26.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040552,Joshua Simon,TE,ATL,25.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038809,Ben Sims,TE,MIA,26.28,0.9339999999999999,1.575,8.85,0.034,0.0,0.0,2.019,0
00-0039912,Ben Sinnott,TE,WAS,24.2,1.0287499999999998,1.1662499999999998,9.41875,0.12125,0.0,0.0,2.71375,41
00-0037475,Stone Smartt,TE,PHI,27.89,1.303,1.733,13.852,0.016,0.0,0.0,2.718,0
00-0034798,Durham Smythe,TE,BAL,31.05,1.0150000000000001,1.455,8.552,0.0,0.0,0.0,1.8730000000000002,0
00-0039530,Brevyn Spann-Ford,TE,DAL,26.66,0.6575,0.9825,6.512499999999999,0.0375,0.0,0.0,1.545,0
00-0036741,Jack Stoll,TE,CLE,28.58,0.621,1.056,4.421,0.055,0.0,0.0,1.3940000000000001,0
00-0039359,Cade Stover,TE,HOU,26.2,1.6512499999999999,2.2575,11.48125,0.02625,0.3125,0.0,2.9937499999999995,0
00-0041483,Eli Stowers,TE,PHI,23.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611
00-0038935,Brenton Strange,TE,JAX,25.66,2.915,3.895,32.308,0.195,0.0,0.0,7.282,272
00-0041384,Evan Svoboda,TE,LAC,23.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039275,Messiah Swinson,TE,GB,26.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040736,Mason Taylor,TE,NYJ,22.3,3.38,5.0,28.38,0.08,0.0,0.0,6.84,111
00-0040457,Jermaine Terry,TE,CLE,23.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0034365,Ian Thomas,TE,LV,30.22,1.144,1.544,8.434000000000001,0.0,0.0,0.0,1.99,0
00-0037112,Jake Tonges,TE,SF,27.14,1.7,2.3,14.65,0.25,0.0,0.0,4.665,121
00-0033757,Robert Tonyan,TE,PIT,32.32,0.43400000000000005,0.534,2.116,0.0,0.0,0.0,0.645,0
00-0040853,Carson Towt,TE,IND,25.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041579,Seydou Traore,TE,MIA,24.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036422,Adam Trautman,TE,DEN,29.55,1.346,1.83,14.388000000000002,0.123,0.0,0.0,3.517,0
