gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game,market_value
00-0033854,Dare Ogunbowale,RB,LV,32.32,0.756,1.1460000000000001,6.829,0.018,1.137,3.773,0.035,2.072,0
00-0040959,Jaydn Ott,RB,KC,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040649,Robbie Ouzts,RB,SEA,23.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037197,Isiah Pacheco,RB,DET,27.49,1.871,2.387,10.758,0.068,11.026,44.415,0.182,8.855,213
00-0036755,Jaret Patterson,RB,LAC,26.68,0.25,0.335,0.665,0.0,3.415,13.25,0.085,2.14,0
00-0033526,Samaje Perine,RB,CIN,30.95,1.648,1.976,13.934000000000001,0.018,3.778,17.158,0.13,5.46,40
00-0037258,Dameon Pierce,RB,PHI,26.52,0.24600000000000002,0.46199999999999997,1.5020000000000002,0.0,4.672,18.332,0.088,2.847,0
00-0041307,Joshua Pitsenberger,RB,HOU,22.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0035261,Tony Pollard,RB,TEN,29.33,2.386,3.061,14.181999999999999,0.0,14.959,63.881,0.308,11.844999999999999,372
00-0041512,Jadarian Price,RB,SEA,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038
00-0040888,Adam Randall,RB,BAL,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
00-0035567,Craig Reynolds,RB,WAS,30.2,0.198,0.27,2.284,0.0,2.148,8.597999999999999,0.016,1.349,0
00-0033376,Patrick Ricard,RB,NYG,32.26,0.33199999999999996,0.55,2.946,0.058,0.1,0.3,0.0,1.008,0
00-0040937,Dominic Richardson,RB,NYJ,25.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037557,Ronnie Rivers,RB,LA,27.57,0.361,0.412,2.189,0.0,2.563,11.651,0.0,1.746,0
00-0040393,Kye Robichaux,RB,DET,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038542,Bijan Robinson,RB,ATL,24.58,4.084,5.314,37.455,0.186,16.322000000000003,80.64699999999999,0.49899999999999994,19.833,10000
00-0037746,Brian Robinson,RB,ATL,27.44,1.144,1.4660000000000002,9.049000000000001,0.054000000000000006,9.087,38.66,0.297,7.905,255
00-0038611,Chris Rodriguez Jr.,RB,JAX,26.92,0.21100000000000002,0.251,2.029,0.0,7.299,33.736000000000004,0.381,6.027,261
00-0038488,Brady Russell,RB,SEA,27.99,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040162,Dylan Sampson,RB,CLE,21.95,2.2,2.67,18.07,0.13,4.33,11.67,0.0,5.84,260
00-0040466,Raheim Sanders,RB,CLE,24.22,0.75,1.0,5.25,0.0,6.75,23.0,0.25,5.08,51
00-0038896,Jacob Saylors,RB,DET,26.47,0.0,0.0,0.0,0.0,0.09,0.5,0.0,0.05,0
00-0039703,Cody Schrader,RB,DEN,26.97,0.37499999999999994,0.37499999999999994,2.2499999999999996,0.0,0.37499999999999994,1.1249999999999998,0.0,0.7124999999999999,0
00-0040637,Lucas Scott,RB,BAL,23.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041200,Sam Scott,RB,NYJ,23.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038440,Zavier Scott,RB,MIN,27.12,0.635,0.725,4.455,0.045,1.455,5.18,0.0,1.78,0
00-0036984,Trey Sermon,RB,ATL,27.58,0.397,0.531,2.304,0.0,1.9949999999999999,7.18,0.039,1.585,0
00-0039746,Will Shipley,RB,PHI,24.0,0.51625,0.6537499999999999,3.50875,0.0,1.49125,4.553749999999999,0.0,1.3224999999999998,0
00-0035250,Devin Singletary,RB,NYG,28.98,1.302,1.488,9.089,0.0,8.301,32.158,0.274,7.1,11
00-0040886,Nicholas Singleton,RB,TEN,22.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401
00-0040715,Cam Skattebo,RB,NYG,24.56,3.0,4.0,25.88,0.25,12.62,51.25,0.62,15.96,2035
00-0039652,Jabari Small,RB,DET,24.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040078,Brashard Smith,RB,KC,23.38,1.47,2.06,10.12,0.06,2.59,8.88,0.0,3.72,40
00-0040964,EJ Smith,RB,KC,24.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039032,Tyjae Spears,RB,TEN,25.2,3.092,3.625,20.286,0.036000000000000004,6.046,24.015,0.198,8.946000000000002,208
00-0039325,Carson Steele,RB,PHI,23.85,0.20249999999999999,0.3187499999999999,0.7499999999999999,0.0,1.6162499999999995,5.279999999999999,0.0,0.69,0
00-0036875,Rhamondre Stevenson,RB,NE,28.51,2.439,2.989,19.646,0.09100000000000001,11.384999999999998,47.871,0.45699999999999996,12.332,530
00-0040526,Tre Stewart,RB,ARI,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038098,Pierre Strong,RB,GB,27.72,0.386,0.607,2.988,0.0,1.388,6.131,0.012,1.349,0
00-0036275,D'Andre Swift,RB,CHI,27.62,2.289,3.0300000000000002,18.834,0.041999999999999996,14.296,64.005,0.447,13.423,1230
00-0040991,Elijah Tau-Tolliver,RB,BAL,23.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041217,J'Mari Taylor,RB,JAX,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
00-0036223,Jonathan Taylor,RB,IND,27.61,2.122,2.743,17.093,0.101,19.372,92.103,0.907,19.027,5197
00-0035973,Patrick Taylor,RB,SF,28.33,0.329,0.781,1.961,0.0,2.253,10.405999999999999,0.042,1.8239999999999998,0
TEC426541,Alex Tecza,RB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039384,Tyrone Tracy Jr.,RB,NYG,26.76,2.34,3.17,18.26625,0.10375,11.565,49.33749999999999,0.18999999999999997,10.719999999999999,203
00-0041239,Chip Trayanum,RB,NYJ,24.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038951,Sean Tucker,RB,TB,24.84,0.528,0.672,3.523,0.048,4.412,16.38,0.241,4.248,83
00-0040719,Bhayshul Tuten,RB,JAX,24.53,0.67,0.93,5.27,0.13,5.53,20.47,0.33,5.91,1459
00-0040394,Anthony Tyus III,RB,CAR,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039364,Sione Vaki,RB,DET,25.08,0.12374999999999999,0.12374999999999999,1.5412499999999998,0.0,0.32625,0.8975,0.0,0.36874999999999997,0
00-0038489,Ben VanSumeren,RB,BUF,26.31,0.099,0.099,0.0,0.0,0.0,0.0,0.0,0.099,0
00-0038622,Deuce Vaughn,RB,HOU,24.82,0.414,0.534,2.414,0.0,1.786,5.534000000000001,0.0,1.208,0
00-0039391,Kimani Vidal,RB,LAC,25.0,0.97875,1.43125,9.12125,0.09125,9.2425,37.37,0.14375000000000002,7.03,181
00-0038134,Kenneth Walker III,RB,KC,25.85,2.55,3.0,19.903,0.041,13.593,57.897999999999996,0.443,13.244,3586
00-0035924,Jonathan Ward,RB,BAL,28.91,0.0,0.0,0.0,0.0,0.675,2.75,0.0,0.275,0
00-0037228,Jaylen Warren,RB,PIT,27.82,2.727,3.214,20.958,0.06,10.747,49.385000000000005,0.259,11.576,869
00-0038930,Carlos Washington,RB,MIA,27.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040878,Mike Washington Jr.,RB,LV,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612
00-0040601,Jordan Waters,RB,LA,25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039466,Ian Wheeler,RB,BUF,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037256,Rachaad White,RB,WAS,27.63,2.947,3.2889999999999997,20.728,0.156,9.96,40.734,0.25,11.35,339
00-0038040,Zamir White,RB,NO,26.94,0.855,1.192,5.0329999999999995,0.0,5.236,17.002,0.052,3.194,0
00-0041312,Noah Whittington,RB,HOU,24.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036997,Javonte Williams,RB,DAL,26.34,2.601,3.555,13.235,0.08399999999999999,13.041,56.260000000000005,0.45499999999999996,12.616999999999999,2164
00-0040429,Josh Williams,RB,TB,26.22,0.0,0.0,0.0,0.0,2.0,5.5,0.0,0.55,0
00-0037840,Kyren Williams,RB,LA,26.0,2.23,3.02,15.113000000000001,0.176,17.345,80.248,0.759,17.098,2366
00-0041572,Roydell Williams,RB,DET,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0035291,Trayveon Williams,RB,DET,28.86,0.753,0.862,4.709,0.0,1.023,3.862,0.0,1.611,0
00-0038797,Emanuel Wilson,RB,SEA,27.31,0.795,0.946,4.676,0.018,6.052999999999999,26.849,0.16199999999999998,5.067,37
00-0040067,Jacardia Wright,RB,SEA,25.92,0.0,0.0,0.0,0.0,5.0,20.0,0.0,2.0,0
00-0039874,Jaylen Wright,RB,MIA,23.41,0.43625,0.7975,3.28875,0.0,6.8237499999999995,27.18125,0.1375,4.11875,172
00-0038458,Owen Wright,RB,HOU,27.5,0.0,0.0,0.0,0.0,0.75,1.5,0.0,0.15,0
